EmpiricialRegret,length_scale,K,method
0.1610700967486352,0.1,5,sh
0.4205130267767585,0.1,5,ucb
0.2820977440750003,0.1,5,ts
0.23013044011951722,0.1,5,epsilon
0.1525476473751035,0.1,5,sh
0.25528471577692075,0.1,5,ucb
0.34302942171900214,0.1,5,ts
0.2366166707463072,0.1,5,epsilon
0.15287146743141397,0.1,5,sh
0.28881490878274707,0.1,5,ucb
0.34260012867032513,0.1,5,ts
0.21731379025980535,0.1,5,epsilon
0.1515016891252942,0.1,5,sh
0.26923133778098707,0.1,5,ucb
0.23723465295351423,0.1,5,ts
0.2745047487339112,0.1,5,epsilon
0.15224128410868507,0.1,5,sh
0.41529632229075397,0.1,5,ucb
0.27378900551684676,0.1,5,ts
0.17060620604541574,0.1,5,epsilon
0.15137921021007428,0.1,5,sh
0.3984044162760005,0.1,5,ucb
0.4068568439811142,0.1,5,ts
0.1780600552881477,0.1,5,epsilon
0.15662215264270302,0.1,5,sh
0.4157041034910377,0.1,5,ucb
0.2051739973603634,0.1,5,ts
0.21208875404948965,0.3,5,epsilon
0.062431642984569886,0.3,5,sh
0.2071112468211029,0.3,5,ucb
0.3000208074191203,0.3,5,ts
0.277879973854412,0.3,5,epsilon
0.06281780282191338,0.3,5,sh
0.1738028158786202,0.3,5,ucb
0.2250878785691086,0.3,5,ts
0.244512172663941,0.3,5,epsilon
0.0629330136767395,0.3,5,sh
0.2607220990637621,0.3,5,ucb
0.1584935261412335,0.3,5,ts
0.11671582339802294,0.3,5,epsilon
0.06014248131611783,0.3,5,sh
0.11167971202199782,0.3,5,ucb
0.19636179275572843,0.3,5,ts
0.09177579171669033,0.3,5,epsilon
0.06805693457612894,0.3,5,sh
0.12670607734209802,0.3,5,ucb
0.14340289294314293,0.3,5,ts
0.1323592034734998,0.3,5,epsilon
0.059239256263771564,0.3,5,sh
0.16070109784651265,0.3,5,ucb
0.3206611182353494,0.3,5,ts
0.16355656441917554,0.3,5,epsilon
0.05984516739020629,0.3,5,sh
0.22842997015129687,0.3,5,ucb
0.256744556288397,0.3,5,ts
0.16653213546892512,0.3,5,epsilon
0.05997998753754336,0.3,5,sh
0.23370212183494998,0.3,5,ucb
0.1673553463384878,0.3,5,ts
0.09690037235101097,0.3,5,epsilon
0.05970102101178494,0.3,5,sh
0.1134266996644632,0.3,5,ucb
0.2454533076003952,0.3,5,ts
0.06681657151938002,0.3,5,epsilon
0.0627262852716635,0.3,5,sh
0.186448214056114,0.3,5,ucb
0.2823981460831682,0.3,5,ts
0.10895158287057594,0.3,5,epsilon
0.0827732238972896,0.3,5,sh
0.2755251599834111,0.3,5,ucb
0.26199274010092044,0.3,5,ts
0.2562602083592737,0.3,5,epsilon
0.06231311227932591,0.3,5,sh
0.17730523795131195,0.3,5,ucb
0.21492740943622782,0.3,5,ts
0.13055531050410754,0.3,5,epsilon
0.0635605246184501,0.3,5,sh
0.22714986031000378,0.3,5,ucb
0.13212996421112022,0.3,5,ts
0.1516941244077811,0.3,5,epsilon
0.06244115244662356,0.3,5,sh
0.14069314526450813,0.3,5,ucb
0.28517403755198345,0.3,5,ts
0.06256974254901776,0.3,5,epsilon
0.07612125048435293,0.3,5,sh
0.29779259852952006,0.3,5,ucb
